month_date,bin,job_typeid,ownership_id,borough,date_filed,date_completed,time_of_completion
2022-10-01,5175256,1,1,Staten Island,2020-12-23,2022-10-28,674
2022-08-01,5161953,1,1,Staten Island,2020-12-28,2022-08-23,603
2021-06-01,5172114,2,1,Staten Island,2021-04-16,2021-06-23,68
2021-01-01,5175813,2,1,Staten Island,2020-11-10,2021-01-22,73
2021-09-01,5023037,2,1,Staten Island,2021-04-08,2021-09-10,155
2021-06-01,5068958,2,1,Staten Island,2021-04-01,2021-06-28,88
2021-09-01,5172113,2,1,Staten Island,2021-06-15,2021-09-13,90
2021-07-01,5073861,2,1,Staten Island,2021-04-13,2021-07-23,101
2021-04-01,5172131,2,1,Staten Island,2020-11-23,2021-04-23,151
2021-04-01,5084877,2,1,Staten Island,2020-12-21,2021-04-14,114
2021-05-01,5085400,2,1,Staten Island,2021-02-08,2021-05-24,105
2021-03-01,5052760,2,1,Staten Island,2020-12-07,2021-03-15,98
2021-03-01,5175242,2,1,Staten Island,2020-12-10,2021-03-19,99
2021-06-01,5000206,2,1,Staten Island,2020-12-07,2021-06-04,179
2021-12-01,5126973,2,1,Staten Island,2021-03-01,2021-12-22,296
2021-12-01,5126974,2,1,Staten Island,2021-03-01,2021-12-22,296
2021-05-01,5050235,2,1,Staten Island,2021-03-01,2021-05-26,86
2021-04-01,5175189,2,1,Staten Island,2021-02-12,2021-04-27,74
2021-08-01,5081364,2,1,Staten Island,2021-02-19,2021-08-03,165
2021-06-01,5082202,2,1,Staten Island,2021-03-24,2021-06-03,71
2021-09-01,5175756,2,1,Staten Island,2021-08-09,2021-09-07,29
2022-03-01,5176138,2,1,Staten Island,2022-02-24,2022-03-17,21
2021-06-01,5070033,2,1,Staten Island,2021-04-08,2021-06-28,81
2021-07-01,5052576,2,1,Staten Island,2021-04-08,2021-07-20,103
2021-04-01,5175287,2,1,Staten Island,2021-01-15,2021-04-15,90
2022-08-01,5066612,2,1,Staten Island,2022-02-04,2022-08-26,203
2021-06-01,5027858,2,1,Staten Island,2021-02-19,2021-06-23,124
2021-09-01,5017667,2,1,Staten Island,2021-02-18,2021-09-02,196
2021-08-01,5081388,2,1,Staten Island,2021-02-19,2021-08-03,165
2021-07-01,5175400,2,1,Staten Island,2021-03-23,2021-07-09,108
2021-09-01,5054612,2,1,Staten Island,2021-08-06,2021-09-15,40
2022-10-01,5026089,2,1,Staten Island,2021-09-27,2022-10-13,381
2022-08-01,5081053,2,1,Staten Island,2022-04-01,2022-08-04,125
2021-11-01,5005456,2,1,Staten Island,2021-08-17,2021-11-04,79
2022-06-01,5028256,2,1,Staten Island,2022-05-03,2022-06-29,57
2022-10-01,5046091,2,1,Staten Island,2022-07-25,2022-10-13,80
2022-07-01,5172221,2,1,Staten Island,2022-06-22,2022-07-19,27
2021-04-01,5023366,2,1,Staten Island,2021-03-25,2021-04-27,33
2022-01-01,5172195,2,1,Staten Island,2021-12-02,2022-01-27,56
2022-01-01,5048435,2,1,Staten Island,2021-10-29,2022-01-19,82
2022-01-01,5047379,2,1,Staten Island,2021-12-08,2022-01-10,33
2022-02-01,5177136,2,1,Staten Island,2021-12-22,2022-02-16,56
2022-06-01,5050452,2,1,Staten Island,2021-11-24,2022-06-28,216
2022-06-01,5175547,2,1,Staten Island,2021-12-06,2022-06-28,204
2022-03-01,5050052,2,1,Staten Island,2022-01-26,2022-03-31,64
2021-05-01,5050019,2,1,Staten Island,2021-04-20,2021-05-27,37
2021-10-01,5068180,2,1,Staten Island,2021-04-20,2021-10-21,184
2021-07-01,5172154,2,1,Staten Island,2021-05-10,2021-07-20,71
2021-06-01,5175247,2,1,Staten Island,2021-05-17,2021-06-28,42
2021-07-01,5007349,2,1,Staten Island,2021-04-12,2021-07-12,91
2021-11-01,5172158,2,1,Staten Island,2021-11-05,2021-11-18,13
2021-09-01,5006642,2,1,Staten Island,2021-07-08,2021-09-30,84
2021-12-01,5176184,2,1,Staten Island,2021-08-03,2021-12-14,133
2021-10-01,5068202,2,1,Staten Island,2021-04-20,2021-10-21,184
2022-01-01,5172181,2,1,Staten Island,2021-08-13,2022-01-24,164
2021-06-01,5055018,2,1,Staten Island,2021-04-28,2021-06-10,43
2021-08-01,5175341,2,1,Staten Island,2021-06-16,2021-08-26,71
2021-10-01,5177118,2,1,Staten Island,2021-09-15,2021-10-12,27
2022-03-01,5172207,2,1,Staten Island,2021-09-22,2022-03-08,167
2022-01-01,5175601,2,1,Staten Island,2021-10-20,2022-01-28,100
2022-01-01,5023182,2,1,Staten Island,2021-10-20,2022-01-07,79
2022-01-01,5176259,2,1,Staten Island,2021-12-09,2022-01-27,49
2022-02-01,5172151,2,1,Staten Island,2022-01-06,2022-02-15,40
2021-08-01,5175355,2,1,Staten Island,2021-05-24,2021-08-16,84
2021-09-01,5172162,2,1,Staten Island,2021-06-02,2021-09-03,93
2021-10-01,5022887,2,1,Staten Island,2021-06-15,2021-10-25,132
2022-09-01,5050269,2,1,Staten Island,2022-07-12,2022-09-22,72
2022-04-01,5068125,2,1,Staten Island,2022-02-02,2022-04-28,85
2021-11-01,5175649,2,1,Staten Island,2021-08-18,2021-11-23,97
2021-11-01,5053639,2,1,Staten Island,2021-07-19,2021-11-18,122
2022-06-01,5172123,2,1,Staten Island,2022-05-12,2022-06-03,22
2022-03-01,5021062,2,1,Staten Island,2022-02-09,2022-03-08,27
2022-07-01,5045336,2,1,Staten Island,2022-04-22,2022-07-20,89
2022-07-01,5162155,2,1,Staten Island,2022-04-22,2022-07-20,89
2021-12-01,5175398,2,1,Staten Island,2021-09-13,2021-12-27,105
2022-03-01,5172161,2,1,Staten Island,2021-09-13,2022-03-31,199
2022-02-01,5172174,2,1,Staten Island,2021-12-16,2022-02-18,64
2021-08-01,5068499,2,1,Staten Island,2021-07-08,2021-08-23,46
2021-10-01,5028437,2,1,Staten Island,2021-09-08,2021-10-26,48
2022-02-01,5027765,2,1,Staten Island,2021-10-21,2022-02-02,104
2022-04-01,5053514,2,1,Staten Island,2021-11-12,2022-04-01,140
2021-10-01,5167512,2,1,Staten Island,2021-08-25,2021-10-21,57
2021-12-01,5175815,2,1,Staten Island,2021-09-23,2021-12-06,74
2021-12-01,5172167,2,1,Staten Island,2021-08-25,2021-12-14,111
2022-05-01,5016042,2,1,Staten Island,2021-08-25,2022-05-20,268
